"ID","Tipo","SKU","Nombre","Publicado","¿Está destacado?","Visibilidad en el catálogo","Descripción corta","Descripción","Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?","Inventario","Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal","Categorías","Etiquetas","Clase de envío","Imágenes","Límite de descargas","Días de caducidad de la descarga","Superior","Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón","Posición","Fixed Tiered Prices","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Meta: wcz_pps_price_prefix","Meta: site-sidebar-layout","Meta: site-content-layout","Meta: theme-transparent-header-meta","Meta: precio_menudeo","Meta: _precio_menudeo","Meta: precio_mayoreo","Meta: _precio_mayoreo","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Meta: _wp_page_template","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3"
"790209605440","variable","1060050","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT 50)","1","0","visible","PAPEL AMERICA APSA (ROLLO) 70x5","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT","","","taxable","","1","","","0","0","","","","","1","","","32.526399999999995","PAPELES > PAPELES > EXTENDIDOS > AMERICA","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/07/790209605440.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605358.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605419.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605433.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605402.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605341.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605426.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605396.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605327.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605303.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605389.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605372.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605457.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605471.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605310.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605358.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605419.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605433.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605402.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605341.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605426.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605396.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605327.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605303.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605389.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605372.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605457.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605471.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605310.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, ","","","","","","","","","0.0","","MARCA","APSA","1","1","","default","default","default","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","PRESENTACION","AMARILLO, AZUL, AZUL REY, BLANCO, CAFÉ, CREMA, GRIS, LILA, MARINO, NARANJA, NEGRO, OBISPO, ROJO, ROSA MEX, ROSA PASTEL, SALMON, TURQUESA, VDE BANDERA, VERDE PASTEL, AZUL, AZUL REY, BLANCO, CAFÉ, CREMA, GRIS, LILA, MARINO, NARANJA, NEGRO, OBISPO, ROJO, ROSA MEX, ROSA PASTEL, SALMON, TURQUESA, VDE BANDERA, VERDE PASTEL, ","1","0","default","ATRIBUTO","","1","0"
"790209605358","variation","1060051","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT AZUL PASTEL 105, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT AZUL PASTEL 105","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605358.jpg","","","1060050","","","","","","1.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","AZUL","","0","","","","",""
"790209605334","variation","1060052","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT AZUL REY 103, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT AZUL REY 103","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png","","","1060050","","","","","","2.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","AZUL REY","","0","","","","",""
"790209605419","variation","1060053","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT BLANCO 111, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT BLANCO 111","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605419.jpg","","","1060050","","","","","","3.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","BLANCO","","0","","","","",""
"790209605433","variation","1060054","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT CAFE 113, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT CAFE 113","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605433.jpg","","","1060050","","","","","","4.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","CAFÉ","","0","","","","",""
"790209605402","variation","1060055","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT CREMA 110, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT CREMA 110","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605402.jpg","","","1060050","","","","","","5.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","CREMA","","0","","","","",""
"790209605341","variation","1060056","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT GRIS 104, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT GRIS 104","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605341.jpg","","","1060050","","","","","","6.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","GRIS","","0","","","","",""
"790209605464","variation","1060057","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT LILA 116, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT LILA 116","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png","","","1060050","","","","","","7.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","LILA","","0","","","","",""
"790209605488","variation","1060058","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT MARINO 118, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT MARINO 118","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png","","","1060050","","","","","","8.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","MARINO","","0","","","","",""
"790209605426","variation","1060059","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT NARANJA 112, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT NARANJA 112","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605426.jpg","","","1060050","","","","","","9.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","NARANJA","","0","","","","",""
"790209605396","variation","1060060","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT NEGRO 109, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT NEGRO 109","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605396.jpg","","","1060050","","","","","","10.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","NEGRO","","0","","","","",""
"790209605327","variation","1060061","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT OBISPO 102, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT OBISPO 102","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605327.jpg","","","1060050","","","","","","11.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","OBISPO","","0","","","","",""
"790209605303","variation","1060062","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT ROJO 100, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT ROJO 100","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605303.jpg","","","1060050","","","","","","12.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","ROJO","","0","","","","",""
"790209605389","variation","1060063","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT ROSA MEXICANO 108, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT ROSA MEXICANO 108","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605389.jpg","","","1060050","","","","","","13.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","ROSA MEX","","0","","","","",""
"790209605372","variation","1060064","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT ROSA PASTEL 107, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT ROSA PASTEL 107","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605372.jpg","","","1060050","","","","","","14.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","ROSA PASTEL","","0","","","","",""
"790209605457","variation","1060065","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT SALMON 115, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT SALMON 115","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605457.jpg","","","1060050","","","","","","15.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","SALMON","","0","","","","",""
"790209605471","variation","1060066","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT TURQUESA 117, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT TURQUESA 117","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605471.jpg","","","1060050","","","","","","16.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","TURQUESA","","0","","","","",""
"790209605310","variation","1060067","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT VERDE BANDERA 101, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT VERDE BANDERA 101","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605310.jpg","","","1060050","","","","","","17.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","VDE BANDERA","","0","","","","",""
"790209605365","variation","1060068","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT VERDE PASTEL 106, Pieza","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT VERDE PASTEL 106","","","taxable","parent","1","","","0","0","","","","","0","","","32.526399999999995","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png","","","1060050","","","","","","18.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","VERDE PASTEL","","0","","","","",""
"790209605259","variation","2-1060051","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT AZUL PASTEL 105, CAJA C/30","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT AZUL PASTEL 105","","","taxable","parent","1","","","0","0","","","","","0","","","975.7919999999999","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605358.jpg","","","1060050","","","","","","19.0","","PRESENTACION","CAJA C/30","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","AZUL","","0","","","","",""
"790209605235","variation","2-1060052","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT AZUL REY 103, CAJA C/30","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT AZUL REY 103","","","taxable","parent","1","","","0","0","","","","","0","","","975.7919999999999","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png","","","1060050","","","","","","20.0","","PRESENTACION","CAJA C/30","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","AZUL REY","","0","","","","",""
